note_id;last modification time;tags;Rank;Word;IPA;Part-of-Speech 1;Definition 1;Definition 1 Russian;German 1;English 1;Russian 1;Part-of-Speech 2;Definition 2;Definition 2 Russian;German 2;English 2;Russian 2;Part-of-Speech 3;Definition 3;Definition 3 Russian;German 3;English 3;Russian 3;Frequency;WordAudio;Level;WordFamily;Conjugation;SentenceAudio1;SentenceAudio2;SentenceAudio3;Image;Morphology Russain
1679807416706;1784821662;A1 part;11;nicht;nɪçt;part;not;не;Im Restaurant darf man nicht rauchen.;You can’t smoke in the restaurant.;В ресторане нельзя курить.;;;;;;;;;;;;;9291.42955935273 | 0.956185824412173;;A1;;;;;;;
1679807416707;1784821663;A1 pron;12;es;ɛs;pron;it;он;Das Kind geht ins Bett, es ist müde.;"The child goes to bed; she is tired.";Ребенок идет в постель, он устал.;;;;;;;;;;;;;8508.90519429994 | 0.958522206037217;;A1;;;;;;;
1679807416708;1784821664;A1 prep;13;mit;mɪt;prep;with;с;Mein Bruder spielt mit Janosch Fußball im Garten.;My brother plays soccer in the garden with Janosch.;Мой брат играет с Яношем в футбол в саду.;;;;;;;;;;;;;8467.50700393312 | 0.981088351175872;;A1;;;;;;;
1679807416709;1784821666;A1 pron;14;sich;zɪç;pron;-self;себя;Das Kind sieht sich im Spiegel.;The child sees itself in the mirror.;Ребенок смотрит на себя в зеркало.;;;;;;;;;;;;;7747.57276003017 | 0.96987756475769;;A1;;;;;;;
1679807416710;1784821668;A1 pron;15;er;eːɐ̯;pron;he;он;Jan hat gute Noten in der Schule, er ist ein kluges Kind.;"Jan has good grades in school; he’s a smart child.";У Яна хорошие оценки в школе, он умный ребенок.;;;;;;;;;;;;;6838.24179519901 | 0.903069965263372;;A1;;;;;;;
1679807416711;1784821669;A1 prep;16;auf;aʊ̯f;prep;on, at, to;на;Auf dem Tisch steht ein Glas Wasser.;There’s a glass of water on the table.;На столе стоит стакан воды.;;;;;;;;;;;;;6800.78628962903 | 0.971427015295116;;A1;;;;;;;
1679807416712;1784821670;A1 prep;17;für;fyːɐ̯;prep;for;для;Sie macht einen Kaffee für Max.;She’s making coffee for Max.;Она делает кофе для Макса.;;;;;;;;;;;;;6621.19699713298 | 0.967719711783705;;A1;;;;;;;
1679807416713;1784821671;A1 adv;18;auch;aʊ̯x;adv;also, too;также;Auch ich habe Geburtstag, nicht nur Markus.;It’s my birthday too, not just Markus’s.;У меня тоже день рождения, не только у Маркуса.;;;;;;;;;;;;;6378.96829992713 | 0.951003991764715;;A1;;;;;;;
1679807416714;1784821672;A1 prep;19;an;an;prep;at, on;на;Das Bild hängt an der Wand.;The picture hangs on the wall.;Картина висит на стене.;;;;;;;;;;;;;6163.45129221987 | 0.97315922559554;;A1;;;;;;;
1679807416715;1784821673;A1 conj;20;dass;das;conj;that;что;Ich vermute, dass der Zug wieder zu spät kommt.;I suspect the train will be late again.;Я предполагаю, что поезд снова придет с опозданием.;;;;;;;;;;;;;5531.09393436672 | 0.96027232545771;;A1;;;;;;;
1679807416716;1784821674;A1 part prep;21;zu;t͡suː;part;to;инфинитивная частица;Ich versuche, dich zu verstehen.;I’m trying to understand you.;Я пытаюсь понять тебя.;prep;to;к;Heute gehe ich zu meiner Nachbarin.;Today I go to my neighbor.;Сегодня я иду к своей соседке.;part;too;слишком;Es ist zu kalt für eine Party im Garten.;It’s too cold for a party in the garden.;Слишком холодно для вечеринки в саду.;5513 | 0.98022184827965;;A1;;;;;;;
1679807416717;1784821675;A1 conj part;22;als;als;conj;as, when;когда;Als ich nach Hause komme, ist es schon dunkel.;When I get home, it’s already dark.;Когда я прихожу домой, уже темно.;part;than;чем;Tim ist Paulas großer Bruder, weil er älter ist als sie.;Tim is Paula’s big brother because he’s older than she is.;Тим — старший брат Паулы, потому что он старше, чем она.;;;как;;;;5499.74959023184 | 0.973239040516429;;A1;;;;;;;
1679807416718;1784821677;A1 verb;23;können, kann, konnte, hat können;ˈkœnən;verb;to be able to, can;мочь;Die Kinder können schon Fahrrad fahren.;The children can already ride bicycles.;Дети уже умеют ездить на велосипеде.;;;;;;;;;;;;;5304.34027498846 | 0.973312268997051;;A1;;ichkanndukannster/sie/eskannwirkönnenihrkönntsie/SiekönnenPrät. ich konnte | Perf. ich habe gekonnt;;;;;
1679807416719;1784821678;A1 pron;24;dies;diːs;pron;this, that;этот;Besonders dieses Bild gefällt mir sehr.;I especially like this picture.;Особенно эта картина мне очень нравится.;;;;;;;;;;;;;5099.46851623267 | 0.967867256484731;;A1;;;;;;;
1679807416720;1784821679;A1 part pron;25;wie;viː;pron;how;как;Wie lange dauert es?;How long does it take?;Сколько времени это займет?;part;as;как;Johanna ist so alt wie Matthias.;Johanna is as old as Matthias.;Йоханна такого же возраста, как Маттиас.;;;;;;;4841.32122915958 | 0.966348418228301;;A1;;;;;;;
1679807416721;1784821681;A1 pron;26;wir;viːɐ̯;pron;we;мы;Fernando und ich wollen Urlaub machen, wir fahren im Sommer.;"Fernando and I are going on vacation; we’re going in summer.";Фернандо и я хотим поехать в отпуск, мы едем летом.;;;;;;;;;;;;;4602.44381403105 | 0.913061583243917;;A1;;;;;;;
1679807416722;1784821682;A1 pron;27;ihr;iːɐ̯;pron;you, her;её;Das Mädchen ärgert ihren Bruder.;The girl annoys her brother.;Девочка дразнит своего брата.;pron;her, their, hers, theirs;их;Die Familie plant ihren Urlaub bereits im Winter.;The family plans their vacation already in winter.;Семья планирует свой отпуск уже зимой.;pron;your;ваш;Bitte geben Sie Ihr Blatt am Ende der Stunde ab.;Please hand in your paper at the end of the lesson.;Пожалуйста, сдайте ваш лист в конце урока.;4598.94468127385 | 0.950512860901341;;A1;;;;;;;
1679807416723;1784821683;A1 adv part;28;so;zoː;adv;so, thus, the way, such;так;Ich beobachte Klaus und mache alles so wie er.;I watch Klaus and do everything the way he does.;Я наблюдаю за Клаусом и делаю всё так, как он.;part;so;так;Das Wetter ist heute so schön.;The weather is so nice today.;Погода сегодня такая хорошая.;;;;;;;4519.35173193765 | 0.93774240867206;;A1;;;;;;;
1679807416724;1784821684;A1 prep;29;bei;baɪ̯;prep;by, with, at;у;Jan ist bei einem neuen Arzt.;Jan’s with a new doctor.;Ян у нового врача.;;;;;;;;;;;;;4312.26221298364 | 0.964076646413686;;A1;;;;;;;
1679807416725;1784821685;A1 pron;30;sein;zaɪ̯n;pron;his, its;свой;Der Junge ärgert seine Schwester.;The boy annoys his sister.;Мальчик дразнит свою сестру.;;;;;;;;;;;;;4061.6553105845 | 0.934146123920172;;A1;;;;;;;
1679807416726;1784821686;A1 conj part;31;aber;ˈaːbɐ;conj;but;но;Die Sonne scheint, aber es ist trotzdem kalt.;The sun is shining, but it’s still cold.;Солнце светит, но все равно холодно.;part;;же;Das ist aber nicht nett von Tim.;That’s not nice of Tim.;Но это же некрасиво со стороны Тима.;;;;;;;4023.80553653484 | 0.949397440548359;;A1;;;;;;;
1679807416727;1784821687;A1 pron;32;man;man;pron;one, you, they;можно;Hier erzählt man sich Geschichten.;They tell stories here.;Здесь рассказывают истории.;;;;;;;;;;;;;3629.14278837117 | 0.945158216689374;;A1;;;;;;;
1679807416728;1784821688;A1 adv;33;noch;nɔx;adv;still, yet;ещё;Habt ihr sonst noch Fragen?;Do you still have any questions?;У вас есть ещё какие-нибудь вопросы?;;;;;;;;;;;;;3375.3324545746 | 0.951393963139556;;A1;;;;;;;
1679807416729;1784821690;A1 prep;34;nach;naːx;prep;after, toward;после;Nach dem Mittagessen gehen wir spazieren.;After lunch we go for a walk.;После обеда мы идем гулять.;;;;;;;;;;;;;3307.7154103088 | 0.96816345324025;;A1;;;;;;;
1679807416730;1784821691;A1 conj;35;oder;ˈoːdɐ;conj;or;или;Kommst du mit dem Fahrrad oder fährst du mit dem Bus?;Are you coming by bike or are you going by bus?;Ты поедешь на велосипеде или на автобусе?;;;;;;;;;;;;;3301.75209955358 | 0.956197764589388;;A1;;;;;;;
1679807416731;1784821692;A1 pron;36;all;al;pron;all;весь;Wir freuen uns alle auf den Urlaub.;We are all looking forward to our vacation.;Мы все с нетерпением ждем отпуска.;;;;;;;;;;;;;3269.32351709957 | 0.967433392159544;;A1;;;;;;;
1679807416732;1784821694;A1 prep;37;aus;aʊ̯s;prep;out, out of, from;из;Thomas schaut aus dem Fenster.;Thomas looks out the window.;Томас смотрит из окна.;;;;;;;;;;;;;3218.16718186057 | 0.976399575558375;;A1;;;;;;;
1679807416733;1784821702;A1 pron;38;was;vas;pron;what;что;Was sagst du?;What do you say?;Что ты говоришь?;;;что;;;;;;что;;;;3150.64870471469 | 0.913628615317248;;A1;;;;;;;
1679807416734;1784821703;A1 adv;39;nur;nuːɐ̯;adv;only;только;Das kostet nur zwei Euro.;It only costs two euros.;Это стоит только два евро.;;;;;;;;;;;;;3000.03814547541 | 0.977285867685821;;A1;;;;;;;
1679807416735;1784821704;A1 verb;40;sagen, sagt, sagte, hat gesagt;ˈzaːɡn̩;verb;to say, tell;говорить;Der Kollege sagt ihr, wo sie die Schlüssel findet.;The colleague tells her where to find the keys.;Коллега говорит ей, где она найдет ключи.;;;;;;;;;;;;;2953.71159911254 | 0.923003849100285;;A1;;ichsagedusagster/sie/essagtwirsagenihrsagtsie/SiesagenPrät. ich sagte | Perf. ich habe gesagt;;;;;
1679807416736;1784821706;A1 adv;41;dann;dan;adv;then;затем;Erst gehen wir einkaufen und dann in ein Restaurant.;First we go shopping, then we go to a restaurant.;Сначала мы идем за покупками, а затем в ресторан.;;;;;;;;;;;;;2898.71114619662 | 0.912808569013773;;A1;;;;;;;
1679807416737;1784821707;A1 conj;42;wenn;vɛn;conj;if, when;когда;Ich erzähle es dir, wenn wir uns sehen.;I’ll tell you when we see each other.;Я расскажу тебе это, когда мы увидимся.;;;;;;;;;;;;;2838.04308388525 | 0.953047308965478;;A1;;;;;;;
1679807416738;1784821709;A1 verb;43;müssen, muss, musste, hat gemusst;ˈmʏsn̩;verb;to have to, must;долженствовать;Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.;I have to be home by nine o’clock or my mother will be angry.;Я должен быть дома в девять, иначе моя мама будет сердиться.;;;;;;;;;;;;;2787.72456916558 | 0.95541198033977;;A1;;ichmussdumusster/sie/esmusswirmüssenihrmüsstsie/SiemüssenPrät. ich musste | Perf. ich habe gemusst;;;;;
1679807416739;1784821710;A1 conj prep;44;um;ʊm;prep;around, at;вокруг;Die Kinder laufen um den Baum.;The children run around the tree.;Дети бегают вокруг дерева.;conj;in order to;чтобы;Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.;I also work on weekends in order to pay for my vacation.;Я работаю и в выходные, чтобы иметь возможность оплатить свой отпуск.;;;;;;;2684.72192884814 | 0.967943124461274;;A1;;;;;;;
1679807416740;1784821711;A1 part;45;ja;jaː;part;yes, of course;да;Ja, ich verstehe das.;Yes, I understand that.;Да, я понимаю это.;;;;;;;;;;;;;2526.52170137494 | 0.816524121127013;;A1;;;;;;;
1679807416741;1784821712;A1 pron;46;kein;kaɪ̯n;pron;no;никакой;Sie haben keine Chance, das Spiel zu gewinnen.;They have no chance of winning the game.;У них нет никаких шансов выиграть игру.;;;;;;;;;;;;;2476.99172361464 | 0.96257523573994;;A1;;;;;;;
1679807416742;1784821713;A1 prep;47;über;ˈyːbɐ;prep;above, over, about;над;Über mir fliegt ein Flugzeug.;There’s a plane flying above me.;Надо мной летит самолет.;;;;;;;;;;;;;2382.26872137056 | 0.972624814379222;;A1;;;;;;;
1679807416743;1784821715;A1 adv conj;48;da;daː;adv;there;там;Da hinten steht mein Auto.;There’s my car over there.;Вон там стоит моя машина.;conj;because;поскольку;Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.;Because I have a new job, I’m moving to another city.;Поскольку у меня новая работа, я переезжаю в другой город.;;;;;;;2326.43044793532 | 0.897028411444342;;A1;;;;;;;
1679807416744;1784821716;A1 verb;49;geben, gibt, gab, hat gegeben;ˈɡeːbn̩;verb;to give;давать;Timo gibt dem Verkäufer die Bücher.;Timo gives the books to the seller.;Тимо даёт продавцу книги.;;;;;;;;;;;;;2240.43063580425 | 0.965516657502514;;A1;;ichgebedugibster/sie/esgibtwirgebenihrgibtsie/SiegebenPrät. ich gab | Perf. ich habe gegeben;;;;;
1679807416745;1784821717;A1 prep;50;vor;foːɐ̯;prep;in front of, before, ago;перед;Laura wartet vor der Tür auf ihre Freunde.;Laura is waiting in front of the door for her friends.;Лаура ждет своих друзей перед дверью.;;;;;;;;;;;;;2163.79470006568 | 0.953935750434218;;A1;;;;;;;
1679807416746;1784821718;A1 pron;51;mein;maɪ̯n;pron;my, mine;мой;Anna ist meine kleine Schwester.;Anna is my little sister.;Анна — моя младшая сестра.;;;;;;;;;;;;;2105.19654727264 | 0.895121119210004;;A1;;;;;;;
1679807416747;1784821719;A1 adv;52;mehr;meːɐ̯;adv;more;больше;Ich habe Hunger und möchte mehr Brot.;I’m hungry and want more bread.;Я голоден и хочу больше хлеба.;;;;;;;;;;;;;2081.88542341133 | 0.957348988440384;;A1;;;;;;;
1679807416748;1784821720;A1 das;53;das Jahr, -e;jaːɐ̯;das;year;год;Ein Jahr hat 52 Wochen.;A year has 52 weeks.;В году 52 недели.;;;;;;;;;;;;;2079.56909609318 | 0.937609843063699;;A1;;;;;;;
1679807416749;1784821721;A1 pron;54;du;duː;pron;you;ты;Wer bist du?;Who are you?;Кто ты?;;;;;;;;;;;;;2042.06430696324 | 0.829500305900465;;A1;;;;;;;
1679807416750;1784821722;A1 prep;55;durch;dʊʁç;prep;through;через;Ralf läuft durch die Stadt.;Ralf walks through the city.;Ральф идет через город.;;;;;;;;;;;;;2037.92448792656 | 0.940426723338643;;A1;;;;;;;
1679807416751;1784821731;A1 pron;56;viel;fiːl;pron;much, a lot, many;много;Ich gebe im Urlaub viel Geld aus.;I spend a lot of money on vacation.;Я трачу много денег в отпуске.;;;;;;;;;;;;;2032.99613193051 | 0.942867754176494;;A1;;;;;;;
1679807416752;1784821732;A1 verb;57;wollen, will, wollte, hat gewollt;ˈvɔlən;verb;to want to;хотеть;Die Kinder wollen spielen.;The children want to play.;Дети хотят играть.;;;;;;;;;;;;;2017.6689447828 | 0.933935560312433;;A1;;ichwillduwillster/sie/eswillwirwollenihrwolltsie/SiewollenPrät. ich wollte | Perf. ich habe gewollt;;;;;
1679807416753;1784821733;A1 verb;58;machen, macht, machte, hat gemacht;ˈmaxn̩;verb;to do, make;делать;Die Schüler machen ihre Aufgaben.;The students do their tasks.;Ученики делают свои задания.;;;;;;;;;;;;;1971.09598062013 | 0.928747377659966;;A1;;ichmachedumachster/sie/esmachtwirmachenihrmachtsie/SiemachenPrät. ich machte | Perf. ich habe gemacht;;;;;
1679807416754;1784821735;A1 pron;59;andere (r, s);ˈandəʁə;pron;other;другой;Es gibt noch einen anderen Weg zum Bahnhof.;There’s another way to the station.;Есть еще один путь к вокзалу.;;;;;;;;;;;;;1940.9344419243 | 0.970559908460345;;A1;;;;;;;
1679807416755;1784821736;A1 verb;60;sollen, soll, sollte, hat gesollt;ˈzɔlən;verb;should, ought to;долженствовать;Ihr sollt in der Bibliothek leise sein.;You should be quiet in the library.;Вы должны соблюдать тишину в библиотеке.;;;;;;;;;;;;;1839.85386044532 | 0.957702018605499;;A1;;ichsolldusollster/sie/essollwirsollenihrsolltsie/SiesollenPrät. ich sollte | Perf. ich habe gesollt;;;;;
1679807416756;1784821737;A1 adv part;61;schon;ʃoːn;adv;already;уже;Günter arbeitet schon seit 30 Jahren hier.;Günter has been working here for 30 years now.;Гюнтер работает здесь уже 30 лет.;part;;всё же;Die Karten für das Theater sind schon sehr teuer.;The tickets for the theater are really expensive.;Билеты в театр всё же очень дорогие.;;;уже;;;;1839.70600976544 | 0.933228590427611;;A1;;;;;;;
1679807416757;1784821738;A1 verb;62;kommen, kommt, kam, ist gekommen;ˈkɔmən;verb;to come;приходить;Wir kommen morgen Abend zu dir.;We’ll come to your place tomorrow night.;Мы придем к тебе завтра вечером.;;;;;;;;;;;;;1836.94613040765 | 0.945349345004173;;A1;;ichkommedukommster/sie/eskommtwirkommenihrkommtsie/SiekommenPrät. ich kam | Perf. ich bin gekommen;;;;;
1679807416758;1784821740;A1 pron;63;mir;miːɐ̯;pron;me;я;Gibst du mir dein Fahrrad?;Are you giving me your bike?;Ты дашь мне свой велосипед?;;;;;;;;;;;;;1798.99778923807 | 0.887596981997641;;A1;;;;;;;
1679807416759;1784821740;A1 adv;64;immer;ˈɪmɐ;adv;always;всегда;Zum Frühstück esse ich immer eine Scheibe Brot.;I always have a slice of bread for breakfast.;На завтрак я всегда ем ломтик хлеба.;;;;;;;;;;;;;1703.33839935474 | 0.946640638434254;;A1;;;;;;;
1679807416760;1784821741;A1 pron;65;mich;mɪç;pron;me;я;Timo setzt sich neben mich an den Tisch.;Timo sits down next to me at the table.;Тимо садится рядом со мной за стол.;(Reflexive pronoun in the acc.);;себя;Nach der Schule lege ich mich immer kurz ins Bett.;After school I always lie down in bed for a while.;После школы я всегда ложусь ненадолго в постель.;;;;;;;1683.87139317034 | 0.890610230542574;;A1;;;;;;;
1679807416761;1784821742;A1 verb;66;gehen, geht, ging, ist gegangen;ˈɡeːən;verb;to go;идти;Wir gehen heute ins Theater.;We’re going to the theater today.;Мы идем сегодня в театр.;;;идти;;;;;;идти;;;;1648.68293135855 | 0.943839694253337;;A1;;ichgehedugehster/sie/esgehtwirgehenihrgehtsie/SiegehenPrät. ich ging | Perf. ich bin gegangen;;;;;
1679807416762;1784821743;A1 adj;67;groß;ɡʁoːs;adj;big, large, great;большой;Florian hat eine große Wohnung.;Florian has a big apartment.;У Флориана большая квартира.;;;;;;;;;;;;;1636.95344408795 | 0.967856249522763;;A1;;;;;;;
1679807416763;1784821744;A1 adv;68;hier;hiːɐ̯;adv;here;здесь;Hier ist mein Zimmer.;Here is my room.;Здесь моя комната.;;;;;;;;;;;;;1620.5420186211 | 0.927950154780344;;A1;;;;;;;
1679807416764;1784821745;A2 adj part;69;ganz;ɡant͡s;adj;whole, all the;весь;Das ganze Zimmer ist leer.;The whole room is empty.;Вся комната пуста.;part;quite;вполне;Er löst die Aufgabe ganz gut.;He’s solving the task quite well.;Он решает задачу вполне хорошо.;;;;;;;1575.44756125725 | 0.930999448797306;;A2;;;;;;;
1679807416765;1784821746;A1 num;70;zwei;t͡svaɪ̯;num;two;два;Anna hat zwei Schwestern, Tina und Sarah.;Anna has two sisters, Tina and Sarah.;У Анны две сестры, Тина и Сара.;;;;;;;;;;;;;1571.2584586606 | 0.969659722450975;;A1;;;;;;;
1679807416766;1784821747;A1 adv;71;also;ˈalzo;adv;so;значит;Das ist also der neue Schüler.;So, this is the new student.;Значит, это новый ученик.;;;;;;;;;;;;;1568.25216150301 | 0.841750680672394;;A1;;;;;;;
1679807416767;1784821748;A1 adv;72;jetzt;jɛt͡st;adv;now;сейчас;Wir müssen jetzt ins Bett.;We have to go to bed now.;Нам нужно идти спать сейчас.;;;;;;;;;;;;;1541.49118844446 | 0.903612771181303;;A1;;;;;;;
1679807416768;1784821749;A1 adv part;73;doch;dɔx;adv;however, but;но;Heute scheint die Sonne, doch ich bleibe zu Hause.;Today the sun is shining, but I’m staying at home.;Сегодня светит солнце, но я остаюсь дома.;part;;же;Er kommt doch nicht zum Spiel.;He’s not coming to the game after all.;Он же не придет на игру.;;;;;;;1539.17486112632 | 0.925322604620131;;A1;;;;;;;
1679807416769;1784821751;A2 adv;74;wieder;ˈviːdɐ;adv;again;снова;Lea kommt wieder zu spät.;Lea’s late again.;Леа снова опаздывает.;;;;;;;;;;;;;1530.50095457327 | 0.943114098344875;;A2;;;;;;;
1679807416770;1784821752;A1 pron;75;uns;ʊns;pron;us, we;мы;Katharina besucht Max und mich, wir freuen uns darauf.;Katharina is visiting Max and me, we are looking forward to it.;Катарина навещает Макса и меня, мы радуемся этому.;;;;;;;;;;;;;1478.65464949483 | 0.91466462780057;;A1;;;;;;;
1679807416771;1784821753;A1 adj;76;gut;ɡuːt;adj;good;хороший;Die Blumen riechen gut.;The flowers smell good.;Цветы хорошо пахнут.;;;;;;;;;;;;;1441.79054664438 | 0.93859692519171;;A1;;;;;;;
1679807416772;1784821754;A1 conj prep;77;bis;bɪs;prep;until, till;до;Meine Mutter arbeitet bis sieben Uhr.;My mother works until seven o’clock.;Моя мама работает до семи часов.;conj;until;пока;Ich warte hier, bis er kommt.;I’ll wait here until he comes.;Я подожду здесь, пока он не придет.;;;;;;;1411.33330658879 | 0.963605755817309;;A1;;;;;;;
1679807416773;1784821756;A1 verb;78;wissen, weiß, wusste, hat gewusst;ˈvɪsn̩;verb;to know;знать;Max weiß viel und ist gut in der Schule.;Max knows a lot and is good at school.;Макс много знает и хорошо учится в школе.;;;знать;;;;;;знать;;;;1358.50133031113 | 0.916710470585838;;A1;;ichweißduweißter/sie/esweißwirwissenihrwisstsie/SiewissenPrät. ich wusste | Perf. ich habe gewusst;;;;;
1679807416774;1784821757;A1 verb;79;sehen, sieht, sah, hat gesehen;ˈzeːən;verb;to see;видеть;Seit er die neue Brille hat, kann er besser sehen.;Since he got the new glasses, he can see better.;С тех пор как у него появились новые очки, он стал лучше видеть.;;;;;;;;;;;;;1358.30419607129 | 0.932617627168081;;A1;;ichsehedusiehster/sie/essiehtwirsehenihrsiehtsie/SiesehenPrät. ich sah | Perf. ich habe gesehen;;;;;
1679807416775;1784821758;A1 pron;80;einer;ˈaɪ̯nɐ;pron;(some)one;один;Dieses Problem ist nur eines von vielen.;This problem is only one of many.;Эта проблема — лишь одна из многих.;;;;;;;;;;;;;1328.48764229519 | 0.955910080872484;;A1;;;;;;;
1679807416776;1784821760;A1 adv;81;sehr;zeːɐ̯;adv;very;очень;Sie ist eine sehr gute Ärztin.;She’s a very good doctor.;Она очень хороший врач.;;;;;;;;;;;;;1307.83783067174 | 0.913939113905231;;A1;;;;;;;
1679807416777;1784821761;A1 conj das part;82;Mal;maːl;das;time, mark;пятно;Maria hat ein dunkles Mal auf ihrer Haut.;Maria has a dark mark on her skin.;У Марии темное пятно на коже.;conj;times;раз;Ein mal eins ist eins.;One times one equals one.;Один раз один — один.;part;;как-то;Meine Freundin Veronika hat mal im Ausland gearbeitet.;My friend Veronika once worked abroad.;Моя подруга Вероника как-то работала за границей.;1288.1736902475 | 0.864058607333295;;A1;;;;;;;
1679807416778;1784821762;A2 verb;83;lassen, lässt, ließ, hat gelassen;ˈlasn̩;verb;to let, allow, have done;позволять;Lass mich gehen!;Let me go!;Отпусти меня!;;;;;;;;;;;;;1256.58292831282 | 0.96398012280464;;A2;;ichlassedulässter/sie/eslässtwirlassenihrlässtsie/SielassenPrät. ich ließ | Perf. ich habe gelassen;;;;;
1679807416779;1784821764;A1 adj;84;neu;nɔɪ̯;adj;new;новый;Ich habe eine neue Tasche, weil die alte kaputt ist.;I got a new bag because the old one’s broken.;У меня есть новая сумка, потому что старая сломалась.;;;;;;;;;;;;;1213.21339554759 | 0.942132654393388;;A1;;;;;;;
