Word	Annotation	Sense	Part of Speech	Level	Russian	English
Abteilung	die Abteilung, -en		die	B1	отдел	department
abwarten, wartet ab, wartete ab, hat abgewartet	abwarten, wartet ab, wartete ab, hat abgewartet		verb	B2+	подожди	to wait, wait out
Abwehr	die Abwehr		die	B2+	оборона	defense
abweichen, weicht ab, wich ab, ist abgewichen	abweichen, weicht ab, wich ab, ist abgewichen		verb	B2+	отклоняться	to deviate, differ
Abweichung	die Abweichung, -en		die	B2+	отклонение	difference, deviation, tolerance
abwenden, wendet ab, wendete ab, hat abgewendet	abwenden, wendet ab, wendete ab, hat abgewendet		verb	B2+	отвратить	to turn away, avert
Abwesenheit	die Abwesenheit, -en		die	B2+	отсутствие	absence
abzeichnen, zeichnet ab, zeichnete ab, hat abgezeichnet	abzeichnen (sich), zeichnet ab, zeichnete ab, hat abgezeichnet		verb	B2+	отписаться	to emerge
abziehen, zieht ab, zog ab, hat abgezogen	abziehen, zieht ab, zog ab, hat abgezogen		verb	B2+	вычесть	to take off, withdraw, subtract
ach	ach		part	A2	ох	oh
Achse	die Achse, -n		die	B2+	ось	axle, axis
acht	acht		num	A1	восемь	eight
achten, achtet, achtete, hat geachtet	achten, achtet, achtete, hat geachtet		verb	B1	уважение	to respect, pay attention
Achtung	die Achtung		die	A1	внимание	respect
achtzehn	achtzehn		num	B2+	восемнадцать	eighteen
achtzig	achtzig		num	B2+	восемьдесят	eighty
addieren, addiert, addierte, hat addiert	addieren, addiert, addierte, hat addiert		verb	B2+	добавить	to add
Addition	die Addition, -en		die	B2+	дополнение	addition, summation
Adjektiv	das Adjektiv, -e		das	B2+	прилагательное	adjective
Adresse	die Adresse, -n		die	A1	адрес	address
AfD	AfD (Alternative für Deutschland)		die	B1	адг	AfD, Alternative für Deutschland
Affäre	die Affäre, -n		die	B2+	дело	affair
Affe	der Affe, -n		der	B2+	обезьяна	monkey, ape
afghanisch	afghanisch		adj	B2+	афганский	Afghan
Afghanistan	Afghanistan		das	B1	Афганистан	Afghanistan
Afrika	Afrika		das	B1	африка	Africa
afrikanisch	afrikanisch		adj	B2+	африканский	African
AG	AG (Aktiengesellschaft)		die	B1	АГ	incorporated company, inc.
Agentur	die Agentur, -en		die	B2+	агентство	agency
aggressiv	aggressiv		adj	B2+	агрессивный	aggressive
agieren, agiert, agierte, hat agiert	agieren, agiert, agierte, hat agiert		verb	B2+	действовать	to act
Ägypten	Ägypten		das	B2+	Египет	Egypt
ah	ah		part	B1	ах	ah
äh	äh		part	B1	эээ	um
aha	aha		part	B1	ага	aha, I see
ähneln, ähnelt, ähnelte, hat geähnelt	ähneln, ähnelt, ähnelte, hat geähnelt		verb	B2+	похоже	to be similar, resemble
ahnen, ahnt, ahnte, hat geahnt	ahnen, ahnt, ahnte, hat geahnt		verb	B1	догадался	to sense, suspect
ähnlich	ähnlich		adj	B1	похожий	similar
Ähnlichkeit	die Ähnlichkeit, -en		die	B2+	сходство	similarity
Ahnung	die Ahnung, -en		die	A2	догадка	suspicion, idea
Airline	die Airline, -s		die	B2+	авиакомпания	airline
Akademie	die Akademie, -n		die	B2+	академия	academy
akademisch	akademisch		adj	B2+	академический	academic
Akt	der Akt, -e		der	B2+	действовать	act
Akte	die Akte, -n		die	B2+	файл	file
Akteur	der Akteur, -e		der	B2+	актер	player, actor
Aktie	die Aktie, -n		die	B1	поделиться	share
Aktion	die Aktion, -en		die	B1	действие	action, campaign
Aktionär	der Aktionär, -e		der	B2+	акционер	shareholder
aktiv	aktiv		adj	A2	активный	active
aktivieren, aktiviert, aktivierte, hat aktiviert	aktivieren, aktiviert, aktivierte, hat aktiviert		verb	B1	активировать	to mobilize, activate
Aktivierung	die Aktivierung, -en		die	B2+	активация	activation
Aktivität	die Aktivität, -en		die	B1	деятельность	activity
aktuell	aktuell		adj	A2	в настоящее время	current
akut	akut		adj	B2+	острый	acute, urgent
Akzent	der Akzent, -e		der	B2+	акцент	accent
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert	akzeptieren, akzeptiert, akzeptierte, hat akzeptiert		verb	B1	принять	to accept
Album	das Album, -en		das	B2+	альбом	album
Algebra	die Algebra, -en		die	B2+	алгебра	algebra
Algorithmus	der Algorithmus, -en		der	B2+	алгоритм	algorithm
Alkohol	der Alkohol, -e		der	B1	алкоголь	alcohol
all	all		pron	A1	все	all
allein, alleine	allein, alleine		adv	A1	один	alone
allenfalls	allenfalls		adv	B2+	максимум	at most
allerdings	allerdings		adv	B1	однако	though, indeed, certainly
allgemein	allgemein		adj	B1	общий	general
Allianz	die Allianz, -en		die	B2+	альянс	alliance
allmählich	allmählich		adj	B2+	постепенно	gradual
Alltag	der Alltag, -e		der	B1	повседневная жизнь	workday, daily routine, everyday life
alltäglich	alltäglich		adj	B1	каждый день	daily, usual, ordinary
allzu	allzu		adv	B1	тоже	overly
Alpen	Alpen		die (pl)	B2+	Альпы	Alps
als	als		conj, part	A1	как	as, when; than
also	also		adv	A1	так	so
alt	alt		adj	A1	старый	old
Alte	die Alte		der, die, das	B2+	старый	old person/thing
Alter	der Alter		das	A1	Чувак	age
alternativ	alternativ		adj	B1	альтернативно	alternatively
Alternative	die Alternative, -n		die	B1	альтернатива	alternative
Altstadt	die Altstadt, -̈e		die	B2+	старый город	old town, historical center
am	am		part	A2	на	the (+superlative)
Amerika	Amerika		das	B1	Америка	America
Amerikaner	der Amerikaner, -		der	B1	американский	American
amerikanisch	amerikanisch		adj	A2	американский	American
Aminosäure	die Aminosäure, -n		die	B1	аминокислота	amino acid
Amt	das Amt, -Äer		das	B1	офис	office, department, function
Amtszeit	die Amtszeit, -en		die	B2+	срок	term of office
an	an		prep	A1	на	at, on
analog	analog		adj	B1	аналог	analog, analogous
Analyse	die Analyse, -n		die	A2	анализ	analysis
analysieren, analysiert, analysierte, hat analysiert	analysieren, analysiert, analysierte, hat analysiert		verb	B1	анализировать	to analyze
analytisch	analytisch		adj	B2+	аналитический	analytic
Anatomie	die Anatomie, -n		die	B2+	анатомия	anatomy
anbieten, bietet an, bot an, hat angeboten	anbieten, bietet an, bot an, hat angeboten		verb	A1	предложение	to offer
Anbieter	der Anbieter, -		der	B1	поставщик	supplier
Anblick	der Anblick, -e		der	B2+	зрение	sight
anbringen, bringt an, brachte an, hat angebracht	anbringen, bringt an, brachte an, hat angebracht		verb	B2+	прикрепить	to affix, attach, put up
andauern, dauert an, dauerte an, hat angedauert	andauern, dauert an, dauerte an, hat angedauert		verb	B2+	последний	to continue, last
andere	andere (r, s)		pron	A1	другие	other
andererseits	andererseits		adv	B1	с другой стороны	on the other hand
ändern, ändert, änderte, hat geändert	ändern, ändert, änderte, hat geändert		verb	A2	изменение	to change
anders	anders		adv	A2	разные	different, differently
anderswo	anderswo		adv	B2+	в другом месте	elsewhere
Änderung	die Änderung, -en		die	B1	изменить	change, modification, alteration
andeuten, deutet an, deutete an, hat angedeutet	andeuten, deutet an, deutete an, hat angedeutet		verb	B2+	указать	to suggest, indicate
anerkennen, erkennt an, erkannte an, hat anerkannt	anerkennen, erkennt an, erkannte an, hat anerkannt		verb	B1	признать	to recognize, accept
Anerkennung	die Anerkennung, -en		die	B2+	признание	recognition
anfallen, fällt an, fiel an, hat angefallen	anfallen, fällt an, fiel an, hat angefallen		verb	B2+	начислено	to attack, accumulate
Anfang	der Anfang, -̈e		der	A1	начало	beginning
anfangen, fängt an, fing an, hat angefangen	anfangen, fängt an, fing an, hat angefangen		verb	A1	начать	to begin, start
anfänglich	anfänglich		adj	B2+	изначально	initial
anfangs	anfangs		adv	B1	изначально	initially, at first
anfassen, fasst an, fasste an, hat angefasst	anfassen, fasst an, fasste an, hat angefasst		verb	B2+	трогать	to touch
Anforderung	die Anforderung, -en		die	B1	требование	requirement, demand, standard
Anfrage	die Anfrage, -n		die	B2+	запрос	inquiry, request
anfühlen, fühlt an, fühlte an, hat angefühlt	anfühlen, fühlt an, fühlte an, hat angefühlt		verb	B2+	чувствовать	to feel
anführen, führt an, führte an, hat angeführt	anführen, führt an, führte an, hat angeführt		verb	B2+	вести	to lead, command, quote
Angabe	die Angabe, -n		die	B1	информация	information, statement
angeben, gibt an, gab an, hat angegeben	angeben, gibt an, gab an, hat angegeben		verb	B1	указать	to claim, declare, show off
angeblich	angeblich		adj	B1	предположительно	alleged
Angebot	das Angebot, -e		das	A1	предложение	offer, supply
angehen, geht an, ging an, ist angegangen	angehen, geht an, ging an, ist angegangen		verb	B1	давай	to concern, go on
angehören, gehört an, gehörte an, hat angehört	angehören, gehört an, gehörte an, hat angehört		verb	B2+	принадлежат	to belong
Angehörige	die Angehörige		der, die	B1	родственники	member, relative
Angelegenheit	die Angelegenheit, -en		die	B2+	вопрос	matter, affair
angemessen	angemessen		adj	B2+	соответствующий	appropriate
angenehm	angenehm		adj	B1	приятный	pleasant
angesichts	angesichts		prep	B1	данный	in view of
Angestellte	die Angestellte		der, die	B2+	сотрудники	employee
angreifen, greift an, griff an, hat angegriffen	angreifen, greift an, griff an, hat angegriffen		verb	B1	нападение	to attack
Angriff	der Angriff, -e		der	B1	атака	attack
Angst	die Angst, -Äe		die	A2	страх	fear, anxiety
angucken, guckt an, guckte an, hat angeguckt	angucken, guckt an, guckte an, hat angeguckt (ankucken)		verb	B2+	посмотрел	to look
anhaben, hat an, hatte an, hat angehabt	anhaben, hat an, hatte an, hat angehabt		verb	B1	имел	to wear, damage
anhalten, hält an, hielt an, hat angehalten	anhalten, hält an, hielt an, hat angehalten		verb	B1	стоп	to stop, last
anhand	anhand		prep	B1	на основе	on the basis of, with the aid of
Anhang	der Anhang, -̈e		der	B2+	приложение	appendix
Anhänger	der Anhänger, -		der	B2+	трейлер	pendant, supporter, trailer
anheben, hebt an, hob an, hat angehoben	anheben, hebt an, hob an, hat angehoben		verb	B2+	поднять	to raise
anhören, hört an, hörte an, hat angehört	anhören, hört an, hörte an, hat angehört		verb	B1	слушай	to listen to
anklagen, klagt an, klagte an, hat angeklagt	anklagen, klagt an, klagte an, hat angeklagt		verb	B2+	обвинять	to accuse
ankommen, kommt an, kam an, ist angekommen	ankommen, kommt an, kam an, ist angekommen		verb	A1	приехать	to arrive
ankündigen, kündigt an, kündigte an, hat angekündigt	ankündigen, kündigt an, kündigte an, hat angekündigt		verb	B1	объявить	to announce
Ankunft	die Ankunft, -̈e		die	A1	прибытие	arrival
Anlage	die Anlage, -n		die	B1	объект	facility, complex, investment, attachment
Anlass	der Anlass, -̈e		der	B1	повод	occasion, cause
anlegen, legt an, legte an, hat angelegt	anlegen, legt an, legte an, hat angelegt		verb	B1	надел	to put on, invest
Anleger	der Anleger, -		der	B2+	инвестор	investor
Anleihe	die Anleihe, -n		die	B2+	бонд	loan, bond, borrowing
Anliegen	das Anliegen, -		das	B2+	проблемы	request
anmachen, macht an, machte an, hat angemacht	anmachen, macht an, machte an, hat angemacht		verb	A1	включить	to turn on
anmelden, meldet an, meldete an, hat angemeldet	anmelden, meldet an, meldete an, hat angemeldet		verb	A2	войти	to register, sign up
anmerken, merkt an, merkte an, hat angemerkt	anmerken, merkt an, merkte an, hat angemerkt		verb	B2+	примечание	to remark, notice, let show
Anmerkung	die Anmerkung, -en		die	B2+	примечание	note, comment
annähern, nähert an, näherte an, hat angenähert	annähern, nähert an, näherte an, hat angenähert		verb	B2+	приблизился	to approach
Annäherung	die Annäherung, -en		die	B2+	подход	approach, approximation, rapprochement
Annahme	die Annahme, -n		die	B1	принятие	acceptance, assumption
annehmen, nimmt an, nahm an, hat angenommen	annehmen, nimmt an, nahm an, hat angenommen		verb	B1	принять	to accept, assume
anordnen, ordnet an, ordnete an, hat angeordnet	anordnen, ordnet an, ordnete an, hat angeordnet		verb	B2+	устроить	to order, arrange
Anordnung	die Anordnung, -en		die	B2+	расположение	order
anorganisch	anorganisch		adj	B2+	неорганический	inorganic
anpassen, passt an, passte an, hat angepasst	anpassen, passt an, passte an, hat angepasst		verb	B1	адаптироваться	to adjust, adapt
Anpassung	die Anpassung, -en		die	B2+	адаптация	adaptation
anregen, regt an, regte an, hat angeregt	anregen, regt an, regte an, hat angeregt		verb	B1	стимулировать	to encourage, suggest, stimulate
Anregung	die Anregung, -en		die	B2+	предложение	stimulus, idea
Anreiz	der Anreiz, -e		der	B2+	стимул	incentive
Anruf	der Anruf, -e		der	A1	позвонить	call
anrufen, ruft an, rief an, hat angerufen	anrufen, ruft an, rief an, hat angerufen		verb	A1	позвони	to call
ansagen, sagt an, sagte an, hat angesagt	ansagen, sagt an, sagte an, hat angesagt		verb	B2+	объявить	to announce
Ansatz	der Ansatz, -̈e		der	B1	подход	approach, attempt
anschauen, schaut an, schaute an, hat angeschaut	anschauen, schaut an, schaute an, hat angeschaut		verb	A2	смотреть	to look at, watch
anscheinend	anscheinend		adj	B2+	видимо	apparent
Anschlag	der Anschlag, -̈e		der	B1	стоп	attack
anschließen, schließt an, schloss an, hat angeschlossen	anschließen, schließt an, schloss an, hat angeschlossen		verb	B1	соединить	to join, chain to, connect
anschließend	anschließend		adv	B1	потом	subsequent, afterwards
Anschluss	der Anschluss, -̈e		der	A1	подключение	connection
ansehen, sieht an, sah an, hat angesehen	ansehen, sieht an, sah an, hat angesehen		verb	A2	смотреть	to look at, watch
ansetzen, setzt an, setzte an, hat angesetzt	ansetzen, setzt an, setzte an, hat angesetzt		verb	B1	начать	to position, estimate, fix
Ansicht	die Ansicht, -en		die	B1	посмотреть	opinion, view
ansiedeln, siedelt an, siedelte an, hat angesiedelt	ansiedeln, siedelt an, siedelte an, hat angesiedelt		verb	B2+	урегулироваться	to settle, establish
ansonsten	ansonsten		adv	B1	иначе	otherwise
ansprechen, spricht an, sprach an, hat angesprochen	ansprechen, spricht an, sprach an, hat angesprochen		verb	B1	адрес	to address, speak
Anspruch	der Anspruch, -̈e		der	B1	требовать	claim
anspruchsvoll	anspruchsvoll		adj	B2+	требовательный	sophisticated
anstarren, starrt an, starrte an, hat angestarrt	anstarren, starrt an, starrte an, hat angestarrt		verb	B2+	смотреть	to gaze, stare at
anstehen, steht an, stand an, hat angestanden	anstehen, steht an, stand an, hat angestanden		verb	B1	очередь	to line up, be in line
ansteigen, steigt an, stieg an, ist angestiegen	ansteigen, steigt an, stieg an, ist angestiegen		verb	B2+	подняться	to rise, go up
anstelle	anstelle		prep	B2+	вместо этого	instead of
anstellen, stellt an, stellte an, hat angestellt	anstellen, stellt an, stellte an, hat angestellt		verb	B1	нанять	to hire, employ, line up, get into mischief
Anstieg	der Anstieg, -e		der	B1	увеличение	rise, increase
anstoßen, stößt an, stieß an, hat angestoßen	anstoßen, stößt an, stieß an, hat angestoßen		verb	B2+	упираться	to toast, initiate
anstreben, strebt an, strebte an, hat angestrebt	anstreben, strebt an, strebte an, hat angestrebt		verb	B2+	стремиться	to aim at, strive (for), aspire to
anstrengend	anstrengend		adj	B2+	утомительный	exhausting
Anstrengung	die Anstrengung, -en		die	B2+	усилие	effort
Anteil	der Anteil, -e		der	A2	поделиться	share, portion
Antibiotikum, Antibiotika	das Antibiotikum, die Antibiotika		das	B2+	антибиотик	antibiotic
antik	antik		adj	B2+	антикварный	antique
Antrag	der Antrag, -̈e		der	B1	приложение	application
antreffen, trifft an, traf an, hat angetroffen	antreffen, trifft an, traf an, hat angetroffen		verb	B2+	встреча	to find, encounter, meet
antreten, tritt an, trat an, hat angetreten	antreten, tritt an, trat an, hat angetreten		verb	B1	конкурировать	to take up, start
antun, tut an, tat an, hat angetan	antun, tut an, tat an, hat angetan		verb	B2+	делать	to do sth to sb
Antwort	die Antwort, -en		die	A1	ответ	answer, reply
antworten, antwortet, antwortete, hat geantwortet	antworten, antwortet, antwortete, hat geantwortet		verb	A1	ответ	to answer
Anwalt	der Anwalt, -̈e		der	B1	юрист	attorney, lawyer
anweisen, weist an, wies an, hat angewiesen	anweisen, weist an, wies an, hat angewiesen		verb	B2+	инструктировать	to order to do, to instruct, to direct
Anweisung	die Anweisung, -en		die	B2+	инструкция	order, instruction
anwenden, wendet an, wandte an, hat angewandt	anwenden, wendet an, wandte an, hat angewandt		verb	B1	применить	to apply, employ
Anwendung	die Anwendung, -en		die	B1	приложение	application, use
anwesend	anwesend		adj	B2+	настоящий	present
Anwesenheit	die Anwesenheit		die	B2+	присутствие	presence
Anwohner	der Anwohner, -		der	B2+	жители	resident
Anzahl	die Anzahl, -en		die	B1	номер	number
Anzeige	die Anzeige, -n		die	A1	реклама	display, advertisement
anzeigen, zeigt an, zeigte an, hat angezeigt	anzeigen, zeigt an, zeigte an, hat angezeigt		verb	B1	показать	to report, sue, indicate, show
anziehen, zieht an, zog an, hat angezogen	anziehen, zieht an, zog an, hat angezogen		verb	B1	надел	to attract, put on, dress
Anzug	der Anzug, -̈e		der	A2	костюм	suit
anzünden, zündet an, zündete an, hat angezündet	anzünden, zündet an, zündete an, hat angezündet		verb	B2+	зажег	to light
Apfel	der Apfel, -Ä		der	A1	яблоко	apple
App	die App, -s		die	B2+	приложение	app
Apparat	der Apparat, -e		der	A2	аппарат	device, gadget
Applaus	der Applaus, -e		der	B2+	аплодисменты	applause
April	der April, -e		der	B1	апрель	April
arabisch	arabisch		adj, das	B1	арабский	Arabian, Arabic; Arabic
Arbeit	die Arbeit, -en		die	A1	работа	work
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1	работа	to work
Arbeiter	der Arbeiter, -		der	B1	рабочие	worker
Arbeitgeber	der Arbeitgeber, -		der	B2+	работодатель	employer
Arbeitnehmer	der Arbeitnehmer, -		der	B2+	рабочие	employee
Arbeitskraft	die Arbeitskraft, -̈e		die	B2+	рабочая сила	manpower, worker
arbeitslos	arbeitslos		adj	A1	безработный	unemployed
Arbeitslosenquote	die Arbeitslosenquote, -n		die	B2+	уровень безработицы	unemployment rate
Arbeitslosigkeit	die Arbeitslosigkeit		die	B1	безработица	unemployment
Arbeitsmarkt	der Arbeitsmarkt, -̈e		der	B2+	рынок труда	labor market
Arbeitsplatz	der Arbeitsplatz, -̈e		der	A1	рабочее место	workplace, job
Arbeitszeit	die Arbeitszeit, -en		die	B2+	рабочее время	working hours
Architekt	der Architekt, -en		der	B2+	архитектор	architect
Architektur	die Architektur, -en		die	B2+	архитектура	architecture
Archiv	das Archiv, -e		das	B2+	архив	archive
Argentinien	Argentinien		das	B2+	аргентина	Argentina
Ärger	der Ärger		der	B2+	проблема	annoyance, trouble
ärgern, ärgert, ärgerte, hat geärgert	ärgern, ärgert, ärgerte, hat geärgert		verb	A2	раздражать	to annoy
Argument	das Argument, -e		das	B1	аргумент	argument
argumentieren, argumentiert, argumentierte, hat argumentiert	argumentieren, argumentiert, argumentierte, hat argumentiert		verb	B2+	спорить	to argue
Arm	der Arm, -e		der	A1	бедный	arm
arm	arm		adj	A1	бедный	poor
Armee	die Armee, -n		die	B1	армия	army
Armut	die Armut		die	B2+	бедность	poverty
aromatisch	aromatisch		adj	B2+	ароматный	aromatic
Arsch	der Arsch, -Äe		der	B2+	задница	ass, behind
Arschloch	das Arschloch, -̈er		das	B2+	Мудак	asshole
Art	die Art, -en		die	A1	искусство	type, kind
Arterie	die Arterie, -n		die	B2+	артерия	artery
Artikel	der Artikel, -		der	A2	статья	article
Arzt	der Arzt, -Äe		der	A1	врач	physician, doctor
ärztlich	ärztlich		adj	B2+	медицинский	medical
asiatisch	asiatisch		adj	B2+	азиатский	Asian
Asien	Asien		das	B2+	Азия	Asia
Aspekt	der Aspekt, -e		der	B1	аспект	aspect
Assistent	der Assistent, -en		der	B2+	ассистент	assistant
Ast	der Ast, -Äe		der	B2+	филиал	branch
ästhetisch	ästhetisch		adj	B2+	эстетический	aesthetic
Asyl	das Asyl, -e		das	B2+	убежище	asylum
Asylbewerber	der Asylbewerber, -		der	B2+	просители убежища	asylum seeker
asymmetrisch	asymmetrisch		adj	B2+	асимметричный	asymmetric
Atelier	das Atelier, -s		das	B2+	студия	studio
Atem	der Atem		der	B2+	дыхание	breath
Athlet	der Athlet, -en		der	B2+	спортсмен	athlete
atmen, atmet, atmete, hat geatmet	atmen, atmet, atmete, hat geatmet		verb	B1	дышать	to breathe
Atmosphäre	die Atmosphäre, -n		die	B1	атмосфера	atmosphere
Atom	das Atom, -e		das	A2	атом	atom
Atomkern	der Atomkern, -e		der	B2+	атомное ядро	(atomic) nucleus
Attacke	die Attacke, -n		die	B2+	атака	attack
Attentat	das Attentat, -e		das	B2+	покушение	assassination
attraktiv	attraktiv		adj	B1	привлекательный	attractive
Attribut	das Attribut, -e		das	B2+	атрибут	adjunct, attribute
au	au		interj	B2+	ой	ouch
auch	auch		adv	A1	также	also, too
auf	auf		prep	A1	на	on, at, to
Aufbau	der Aufbau, -ten		der	B1	строительство	construction, structure
aufbauen, baut auf, baute auf, hat aufgebaut	aufbauen, baut auf, baute auf, hat aufgebaut		verb	A2	строить	to build up
aufbrechen, bricht auf, brach auf, hat aufgebrochen	aufbrechen, bricht auf, brach auf, hat aufgebrochen		verb	B2+	расстаться	to leave, take off, break open
