Word	Annotation	Sense	Part of Speech	Level	English
absagen, sagt ab, sagte ab, hat abgesagt	absagen, sagt ab, sagte ab, hat abgesagt		verb	B1	to cancel
Absatz	der Absatz, -̈e (Abs.)		der	A2	section, sales, paragraph, heel
abschaffen, schafft ab, schaffte ab, hat abgeschafft	abschaffen, schafft ab, schaffte ab, hat abgeschafft		verb	B2+	to abolish
abschalten, schaltet ab, schaltete ab, hat abgeschaltet	abschalten, schaltet ab, schaltete ab, hat abgeschaltet		verb	B2+	to switch off, turn off
Abschied	der Abschied, -e		der	B1	departure, parting
abschließen, schließt ab, schloss ab, hat abgeschlossen	abschließen, schließt ab, schloss ab, hat abgeschlossen		verb	A2	to lock, conclude
abschließend	abschließend		adv	B2+	concluding, final
Abschluss	der Abschluss, -̈e		der	B1	end, conclusion, graduation
abschneiden, schneidet ab, schnitt ab, hat abgeschnitten	abschneiden, schneidet ab, schnitt ab, hat abgeschnitten		verb	B2+	to cut off
Abschnitt	der Abschnitt, -e		der	B1	section, paragraph, chapter, passage
Abschreibung	die Abschreibung, -en		die	B2+	deduction, depreciation
absehen, sieht ab, sah ab, hat abgesehen	absehen, sieht ab, sah ab, hat abgesehen		verb	B1	to foresee, be in sight
abseits	abseits		adv	B2+	offside, off the beaten track
absetzen, setzt ab, setzte ab, hat abgesetzt	absetzen, setzt ab, setzte ab, hat abgesetzt		verb	B2+	to drop off, dismiss
Absicht	die Absicht, -en		die	B1	intention
absolut	absolut		adj	B1	absolute, complete
absolvieren, absolviert, absolvierte, hat absolviert	absolvieren, absolviert, absolvierte, hat absolviert		verb	B2+	to complete, graduate
abspielen, spielt ab, spielte ab, hat abgespielt	abspielen, spielt ab, spielte ab, hat abgespielt		verb	B2+	to play
Abstand	der Abstand, -̈e		der	B1	distance
abstellen, stellt ab, stellte ab, hat abgestellt	abstellen, stellt ab, stellte ab, hat abgestellt		verb	B2+	to turn off, shut down, park, put
Abstieg	der Abstieg, -e		der	B2+	descent
abstimmen, stimmt ab, stimmte ab, hat abgestimmt	abstimmen, stimmt ab, stimmte ab, hat abgestimmt		verb	B1	to vote, coordinate
Abstimmung	die Abstimmung, -en		die	B2+	vote, coordination
abstrakt	abstrakt		adj	B2+	abstract
absurd	absurd		adj	B2+	absurd
Abteilung	die Abteilung, -en		die	B1	department
abwarten, wartet ab, wartete ab, hat abgewartet	abwarten, wartet ab, wartete ab, hat abgewartet		verb	B2+	to wait, wait out
Abwehr	die Abwehr		die	B2+	defense
abweichen, weicht ab, wich ab, ist abgewichen	abweichen, weicht ab, wich ab, ist abgewichen		verb	B2+	to deviate, differ
Abweichung	die Abweichung, -en		die	B2+	difference, deviation, tolerance
abwenden, wendet ab, wendete ab, hat abgewendet	abwenden, wendet ab, wendete ab, hat abgewendet		verb	B2+	to turn away, avert
Abwesenheit	die Abwesenheit, -en		die	B2+	absence
abzeichnen, zeichnet ab, zeichnete ab, hat abgezeichnet	abzeichnen (sich), zeichnet ab, zeichnete ab, hat abgezeichnet		verb	B2+	to emerge
abziehen, zieht ab, zog ab, hat abgezogen	abziehen, zieht ab, zog ab, hat abgezogen		verb	B2+	to take off, withdraw, subtract
ach	ach		part	A2	oh
Achse	die Achse, -n		die	B2+	axle, axis
acht	acht		num	A1	eight
achten, achtet, achtete, hat geachtet	achten, achtet, achtete, hat geachtet		verb	B1	to respect, pay attention
Achtung	die Achtung		die	A1	respect
achtzehn	achtzehn		num	B2+	eighteen
achtzig	achtzig		num	B2+	eighty
addieren, addiert, addierte, hat addiert	addieren, addiert, addierte, hat addiert		verb	B2+	to add
Addition	die Addition, -en		die	B2+	addition, summation
Adjektiv	das Adjektiv, -e		das	B2+	adjective
Adresse	die Adresse, -n		die	A1	address
AfD	AfD (Alternative für Deutschland)		die	B1	AfD, Alternative für Deutschland
Affäre	die Affäre, -n		die	B2+	affair
Affe	der Affe, -n		der	B2+	monkey, ape
afghanisch	afghanisch		adj	B2+	Afghan
Afghanistan	Afghanistan		das	B1	Afghanistan
Afrika	Afrika		das	B1	Africa
afrikanisch	afrikanisch		adj	B2+	African
AG	AG (Aktiengesellschaft)		die	B1	incorporated company, inc.
Agentur	die Agentur, -en		die	B2+	agency
aggressiv	aggressiv		adj	B2+	aggressive
agieren, agiert, agierte, hat agiert	agieren, agiert, agierte, hat agiert		verb	B2+	to act
Ägypten	Ägypten		das	B2+	Egypt
ah	ah		part	B1	ah
äh	äh		part	B1	um
aha	aha		part	B1	aha, I see
ähneln, ähnelt, ähnelte, hat geähnelt	ähneln, ähnelt, ähnelte, hat geähnelt		verb	B2+	to be similar, resemble
ahnen, ahnt, ahnte, hat geahnt	ahnen, ahnt, ahnte, hat geahnt		verb	B1	to sense, suspect
ähnlich	ähnlich		adj	B1	similar
Ähnlichkeit	die Ähnlichkeit, -en		die	B2+	similarity
Ahnung	die Ahnung, -en		die	A2	suspicion, idea
Airline	die Airline, -s		die	B2+	airline
Akademie	die Akademie, -n		die	B2+	academy
akademisch	akademisch		adj	B2+	academic
Akt	der Akt, -e		der	B2+	act
Akte	die Akte, -n		die	B2+	file
Akteur	der Akteur, -e		der	B2+	player, actor
Aktie	die Aktie, -n		die	B1	share
Aktion	die Aktion, -en		die	B1	action, campaign
Aktionär	der Aktionär, -e		der	B2+	shareholder
aktiv	aktiv		adj	A2	active
aktivieren, aktiviert, aktivierte, hat aktiviert	aktivieren, aktiviert, aktivierte, hat aktiviert		verb	B1	to mobilize, activate
Aktivierung	die Aktivierung, -en		die	B2+	activation
Aktivität	die Aktivität, -en		die	B1	activity
aktuell	aktuell		adj	A2	current
akut	akut		adj	B2+	acute, urgent
Akzent	der Akzent, -e		der	B2+	accent
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert	akzeptieren, akzeptiert, akzeptierte, hat akzeptiert		verb	B1	to accept
Album	das Album, -en		das	B2+	album
Algebra	die Algebra, -en		die	B2+	algebra
Algorithmus	der Algorithmus, -en		der	B2+	algorithm
Alkohol	der Alkohol, -e		der	B1	alcohol
all	all		pron	A1	all
allein, alleine	allein, alleine		adv	A1	alone
allenfalls	allenfalls		adv	B2+	at most
allerdings	allerdings		adv	B1	though, indeed, certainly
allgemein	allgemein		adj	B1	general
Allianz	die Allianz, -en		die	B2+	alliance
allmählich	allmählich		adj	B2+	gradual
Alltag	der Alltag, -e		der	B1	workday, daily routine, everyday life
alltäglich	alltäglich		adj	B1	daily, usual, ordinary
allzu	allzu		adv	B1	overly
Alpen	Alpen		die (pl)	B2+	Alps
als	als		conj, part	A1	as, when; than
also	also		adv	A1	so
alt	alt		adj	A1	old
Alte	die Alte		der, die, das	B2+	old person/thing
Alter	der Alter		das	A1	age
alternativ	alternativ		adj	B1	alternatively
Alternative	die Alternative, -n		die	B1	alternative
Altstadt	die Altstadt, -̈e		die	B2+	old town, historical center
am	am		part	A2	the (+superlative)
Amerika	Amerika		das	B1	America
Amerikaner	der Amerikaner, -		der	B1	American
amerikanisch	amerikanisch		adj	A2	American
Aminosäure	die Aminosäure, -n		die	B1	amino acid
Amt	das Amt, -Äer		das	B1	office, department, function
Amtszeit	die Amtszeit, -en		die	B2+	term of office
an	an		prep	A1	at, on
analog	analog		adj	B1	analog, analogous
Analyse	die Analyse, -n		die	A2	analysis
analysieren, analysiert, analysierte, hat analysiert	analysieren, analysiert, analysierte, hat analysiert		verb	B1	to analyze
analytisch	analytisch		adj	B2+	analytic
Anatomie	die Anatomie, -n		die	B2+	anatomy
anbieten, bietet an, bot an, hat angeboten	anbieten, bietet an, bot an, hat angeboten		verb	A1	to offer
Anbieter	der Anbieter, -		der	B1	supplier
Anblick	der Anblick, -e		der	B2+	sight
anbringen, bringt an, brachte an, hat angebracht	anbringen, bringt an, brachte an, hat angebracht		verb	B2+	to affix, attach, put up
andauern, dauert an, dauerte an, hat angedauert	andauern, dauert an, dauerte an, hat angedauert		verb	B2+	to continue, last
andere	andere (r, s)		pron	A1	other
andererseits	andererseits		adv	B1	on the other hand
ändern, ändert, änderte, hat geändert	ändern, ändert, änderte, hat geändert		verb	A2	to change
anders	anders		adv	A2	different, differently
anderswo	anderswo		adv	B2+	elsewhere
Änderung	die Änderung, -en		die	B1	change, modification, alteration
andeuten, deutet an, deutete an, hat angedeutet	andeuten, deutet an, deutete an, hat angedeutet		verb	B2+	to suggest, indicate
anerkennen, erkennt an, erkannte an, hat anerkannt	anerkennen, erkennt an, erkannte an, hat anerkannt		verb	B1	to recognize, accept
Anerkennung	die Anerkennung, -en		die	B2+	recognition
anfallen, fällt an, fiel an, hat angefallen	anfallen, fällt an, fiel an, hat angefallen		verb	B2+	to attack, accumulate
Anfang	der Anfang, -̈e		der	A1	beginning
anfangen, fängt an, fing an, hat angefangen	anfangen, fängt an, fing an, hat angefangen		verb	A1	to begin, start
anfänglich	anfänglich		adj	B2+	initial
anfangs	anfangs		adv	B1	initially, at first
anfassen, fasst an, fasste an, hat angefasst	anfassen, fasst an, fasste an, hat angefasst		verb	B2+	to touch
Anforderung	die Anforderung, -en		die	B1	requirement, demand, standard
Anfrage	die Anfrage, -n		die	B2+	inquiry, request
anfühlen, fühlt an, fühlte an, hat angefühlt	anfühlen, fühlt an, fühlte an, hat angefühlt		verb	B2+	to feel
anführen, führt an, führte an, hat angeführt	anführen, führt an, führte an, hat angeführt		verb	B2+	to lead, command, quote
Angabe	die Angabe, -n		die	B1	information, statement
angeben, gibt an, gab an, hat angegeben	angeben, gibt an, gab an, hat angegeben		verb	B1	to claim, declare, show off
angeblich	angeblich		adj	B1	alleged
Angebot	das Angebot, -e		das	A1	offer, supply
angehen, geht an, ging an, ist angegangen	angehen, geht an, ging an, ist angegangen		verb	B1	to concern, go on
angehören, gehört an, gehörte an, hat angehört	angehören, gehört an, gehörte an, hat angehört		verb	B2+	to belong
Angehörige	die Angehörige		der, die	B1	member, relative
Angelegenheit	die Angelegenheit, -en		die	B2+	matter, affair
angemessen	angemessen		adj	B2+	appropriate
angenehm	angenehm		adj	B1	pleasant
angesichts	angesichts		prep	B1	in view of
Angestellte	die Angestellte		der, die	B2+	employee
angreifen, greift an, griff an, hat angegriffen	angreifen, greift an, griff an, hat angegriffen		verb	B1	to attack
Angriff	der Angriff, -e		der	B1	attack
Angst	die Angst, -Äe		die	A2	fear, anxiety
angucken, guckt an, guckte an, hat angeguckt	angucken, guckt an, guckte an, hat angeguckt (ankucken)		verb	B2+	to look
anhaben, hat an, hatte an, hat angehabt	anhaben, hat an, hatte an, hat angehabt		verb	B1	to wear, damage
anhalten, hält an, hielt an, hat angehalten	anhalten, hält an, hielt an, hat angehalten		verb	B1	to stop, last
anhand	anhand		prep	B1	on the basis of, with the aid of
Anhang	der Anhang, -̈e		der	B2+	appendix
Anhänger	der Anhänger, -		der	B2+	pendant, supporter, trailer
anheben, hebt an, hob an, hat angehoben	anheben, hebt an, hob an, hat angehoben		verb	B2+	to raise
anhören, hört an, hörte an, hat angehört	anhören, hört an, hörte an, hat angehört		verb	B1	to listen to
anklagen, klagt an, klagte an, hat angeklagt	anklagen, klagt an, klagte an, hat angeklagt		verb	B2+	to accuse
ankommen, kommt an, kam an, ist angekommen	ankommen, kommt an, kam an, ist angekommen		verb	A1	to arrive
ankündigen, kündigt an, kündigte an, hat angekündigt	ankündigen, kündigt an, kündigte an, hat angekündigt		verb	B1	to announce
Ankunft	die Ankunft, -̈e		die	A1	arrival
Anlage	die Anlage, -n		die	B1	facility, complex, investment, attachment
Anlass	der Anlass, -̈e		der	B1	occasion, cause
anlegen, legt an, legte an, hat angelegt	anlegen, legt an, legte an, hat angelegt		verb	B1	to put on, invest
Anleger	der Anleger, -		der	B2+	investor
Anleihe	die Anleihe, -n		die	B2+	loan, bond, borrowing
Anliegen	das Anliegen, -		das	B2+	request
anmachen, macht an, machte an, hat angemacht	anmachen, macht an, machte an, hat angemacht		verb	A1	to turn on
anmelden, meldet an, meldete an, hat angemeldet	anmelden, meldet an, meldete an, hat angemeldet		verb	A2	to register, sign up
anmerken, merkt an, merkte an, hat angemerkt	anmerken, merkt an, merkte an, hat angemerkt		verb	B2+	to remark, notice, let show
Anmerkung	die Anmerkung, -en		die	B2+	note, comment
annähern, nähert an, näherte an, hat angenähert	annähern, nähert an, näherte an, hat angenähert		verb	B2+	to approach
Annäherung	die Annäherung, -en		die	B2+	approach, approximation, rapprochement
Annahme	die Annahme, -n		die	B1	acceptance, assumption
annehmen, nimmt an, nahm an, hat angenommen	annehmen, nimmt an, nahm an, hat angenommen		verb	B1	to accept, assume
anordnen, ordnet an, ordnete an, hat angeordnet	anordnen, ordnet an, ordnete an, hat angeordnet		verb	B2+	to order, arrange
Anordnung	die Anordnung, -en		die	B2+	order
anorganisch	anorganisch		adj	B2+	inorganic
anpassen, passt an, passte an, hat angepasst	anpassen, passt an, passte an, hat angepasst		verb	B1	to adjust, adapt
Anpassung	die Anpassung, -en		die	B2+	adaptation
anregen, regt an, regte an, hat angeregt	anregen, regt an, regte an, hat angeregt		verb	B1	to encourage, suggest, stimulate
Anregung	die Anregung, -en		die	B2+	stimulus, idea
Anreiz	der Anreiz, -e		der	B2+	incentive
Anruf	der Anruf, -e		der	A1	call
anrufen, ruft an, rief an, hat angerufen	anrufen, ruft an, rief an, hat angerufen		verb	A1	to call
ansagen, sagt an, sagte an, hat angesagt	ansagen, sagt an, sagte an, hat angesagt		verb	B2+	to announce
Ansatz	der Ansatz, -̈e		der	B1	approach, attempt
anschauen, schaut an, schaute an, hat angeschaut	anschauen, schaut an, schaute an, hat angeschaut		verb	A2	to look at, watch
anscheinend	anscheinend		adj	B2+	apparent
Anschlag	der Anschlag, -̈e		der	B1	attack
anschließen, schließt an, schloss an, hat angeschlossen	anschließen, schließt an, schloss an, hat angeschlossen		verb	B1	to join, chain to, connect
anschließend	anschließend		adv	B1	subsequent, afterwards
Anschluss	der Anschluss, -̈e		der	A1	connection
ansehen, sieht an, sah an, hat angesehen	ansehen, sieht an, sah an, hat angesehen		verb	A2	to look at, watch
ansetzen, setzt an, setzte an, hat angesetzt	ansetzen, setzt an, setzte an, hat angesetzt		verb	B1	to position, estimate, fix
Ansicht	die Ansicht, -en		die	B1	opinion, view
ansiedeln, siedelt an, siedelte an, hat angesiedelt	ansiedeln, siedelt an, siedelte an, hat angesiedelt		verb	B2+	to settle, establish
ansonsten	ansonsten		adv	B1	otherwise
ansprechen, spricht an, sprach an, hat angesprochen	ansprechen, spricht an, sprach an, hat angesprochen		verb	B1	to address, speak
Anspruch	der Anspruch, -̈e		der	B1	claim
anspruchsvoll	anspruchsvoll		adj	B2+	sophisticated
anstarren, starrt an, starrte an, hat angestarrt	anstarren, starrt an, starrte an, hat angestarrt		verb	B2+	to gaze, stare at
anstehen, steht an, stand an, hat angestanden	anstehen, steht an, stand an, hat angestanden		verb	B1	to line up, be in line
ansteigen, steigt an, stieg an, ist angestiegen	ansteigen, steigt an, stieg an, ist angestiegen		verb	B2+	to rise, go up
anstelle	anstelle		prep	B2+	instead of
anstellen, stellt an, stellte an, hat angestellt	anstellen, stellt an, stellte an, hat angestellt		verb	B1	to hire, employ, line up, get into mischief
Anstieg	der Anstieg, -e		der	B1	rise, increase
anstoßen, stößt an, stieß an, hat angestoßen	anstoßen, stößt an, stieß an, hat angestoßen		verb	B2+	to toast, initiate
anstreben, strebt an, strebte an, hat angestrebt	anstreben, strebt an, strebte an, hat angestrebt		verb	B2+	to aim at, strive (for), aspire to
anstrengend	anstrengend		adj	B2+	exhausting
Anstrengung	die Anstrengung, -en		die	B2+	effort
Anteil	der Anteil, -e		der	A2	share, portion
Antibiotikum, Antibiotika	das Antibiotikum, die Antibiotika		das	B2+	antibiotic
antik	antik		adj	B2+	antique
Antrag	der Antrag, -̈e		der	B1	application
antreffen, trifft an, traf an, hat angetroffen	antreffen, trifft an, traf an, hat angetroffen		verb	B2+	to find, encounter, meet
antreten, tritt an, trat an, hat angetreten	antreten, tritt an, trat an, hat angetreten		verb	B1	to take up, start
antun, tut an, tat an, hat angetan	antun, tut an, tat an, hat angetan		verb	B2+	to do sth to sb
Antwort	die Antwort, -en		die	A1	answer, reply
antworten, antwortet, antwortete, hat geantwortet	antworten, antwortet, antwortete, hat geantwortet		verb	A1	to answer
Anwalt	der Anwalt, -̈e		der	B1	attorney, lawyer
anweisen, weist an, wies an, hat angewiesen	anweisen, weist an, wies an, hat angewiesen		verb	B2+	to order to do, to instruct, to direct
Anweisung	die Anweisung, -en		die	B2+	order, instruction
anwenden, wendet an, wandte an, hat angewandt	anwenden, wendet an, wandte an, hat angewandt		verb	B1	to apply, employ
Anwendung	die Anwendung, -en		die	B1	application, use
anwesend	anwesend		adj	B2+	present
Anwesenheit	die Anwesenheit		die	B2+	presence
Anwohner	der Anwohner, -		der	B2+	resident
Anzahl	die Anzahl, -en		die	B1	number
Anzeige	die Anzeige, -n		die	A1	display, advertisement
anzeigen, zeigt an, zeigte an, hat angezeigt	anzeigen, zeigt an, zeigte an, hat angezeigt		verb	B1	to report, sue, indicate, show
anziehen, zieht an, zog an, hat angezogen	anziehen, zieht an, zog an, hat angezogen		verb	B1	to attract, put on, dress
Anzug	der Anzug, -̈e		der	A2	suit
anzünden, zündet an, zündete an, hat angezündet	anzünden, zündet an, zündete an, hat angezündet		verb	B2+	to light
Apfel	der Apfel, -Ä		der	A1	apple
App	die App, -s		die	B2+	app
Apparat	der Apparat, -e		der	A2	device, gadget
Applaus	der Applaus, -e		der	B2+	applause
April	der April, -e		der	B1	April
arabisch	arabisch		adj, das	B1	Arabian, Arabic; Arabic
Arbeit	die Arbeit, -en		die	A1	work
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1	to work
Arbeiter	der Arbeiter, -		der	B1	worker
Arbeitgeber	der Arbeitgeber, -		der	B2+	employer
Arbeitnehmer	der Arbeitnehmer, -		der	B2+	employee
Arbeitskraft	die Arbeitskraft, -̈e		die	B2+	manpower, worker
arbeitslos	arbeitslos		adj	A1	unemployed
Arbeitslosenquote	die Arbeitslosenquote, -n		die	B2+	unemployment rate
Arbeitslosigkeit	die Arbeitslosigkeit		die	B1	unemployment
Arbeitsmarkt	der Arbeitsmarkt, -̈e		der	B2+	labor market
Arbeitsplatz	der Arbeitsplatz, -̈e		der	A1	workplace, job
Arbeitszeit	die Arbeitszeit, -en		die	B2+	working hours
Architekt	der Architekt, -en		der	B2+	architect
Architektur	die Architektur, -en		die	B2+	architecture
Archiv	das Archiv, -e		das	B2+	archive
Argentinien	Argentinien		das	B2+	Argentina
Ärger	der Ärger		der	B2+	annoyance, trouble
ärgern, ärgert, ärgerte, hat geärgert	ärgern, ärgert, ärgerte, hat geärgert		verb	A2	to annoy
Argument	das Argument, -e		das	B1	argument
argumentieren, argumentiert, argumentierte, hat argumentiert	argumentieren, argumentiert, argumentierte, hat argumentiert		verb	B2+	to argue
Arm	der Arm, -e		der	A1	arm
arm	arm		adj	A1	poor
Armee	die Armee, -n		die	B1	army
Armut	die Armut		die	B2+	poverty
aromatisch	aromatisch		adj	B2+	aromatic
Arsch	der Arsch, -Äe		der	B2+	ass, behind
Arschloch	das Arschloch, -̈er		das	B2+	asshole
Art	die Art, -en		die	A1	type, kind
Arterie	die Arterie, -n		die	B2+	artery
Artikel	der Artikel, -		der	A2	article
Arzt	der Arzt, -Äe		der	A1	physician, doctor
ärztlich	ärztlich		adj	B2+	medical
asiatisch	asiatisch		adj	B2+	Asian
Asien	Asien		das	B2+	Asia
Aspekt	der Aspekt, -e		der	B1	aspect
Assistent	der Assistent, -en		der	B2+	assistant
Ast	der Ast, -Äe		der	B2+	branch
ästhetisch	ästhetisch		adj	B2+	aesthetic
Asyl	das Asyl, -e		das	B2+	asylum
Asylbewerber	der Asylbewerber, -		der	B2+	asylum seeker
asymmetrisch	asymmetrisch		adj	B2+	asymmetric
Atelier	das Atelier, -s		das	B2+	studio
Atem	der Atem		der	B2+	breath
Athlet	der Athlet, -en		der	B2+	athlete
atmen, atmet, atmete, hat geatmet	atmen, atmet, atmete, hat geatmet		verb	B1	to breathe
Atmosphäre	die Atmosphäre, -n		die	B1	atmosphere
Atom	das Atom, -e		das	A2	atom
Atomkern	der Atomkern, -e		der	B2+	(atomic) nucleus
Attacke	die Attacke, -n		die	B2+	attack
Attentat	das Attentat, -e		das	B2+	assassination
attraktiv	attraktiv		adj	B1	attractive
Attribut	das Attribut, -e		das	B2+	adjunct, attribute
au	au		interj	B2+	ouch
auch	auch		adv	A1	also, too
auf	auf		prep	A1	on, at, to
Aufbau	der Aufbau, -ten		der	B1	construction, structure
aufbauen, baut auf, baute auf, hat aufgebaut	aufbauen, baut auf, baute auf, hat aufgebaut		verb	A2	to build up
aufbrechen, bricht auf, brach auf, hat aufgebrochen	aufbrechen, bricht auf, brach auf, hat aufgebrochen		verb	B2+	to leave, take off, break open
aufbringen, bringt auf, brachte auf, hat aufgebracht	aufbringen, bringt auf, brachte auf, hat aufgebracht		verb	B2+	to raise, find
aufeinander	aufeinander		adv	B2+	into/onto one another
Aufenthalt	der Aufenthalt, -e		der	B2+	stay, residence
auffallen, fällt auf, fiel auf, ist aufgefallen	auffallen, fällt auf, fiel auf, ist aufgefallen		verb	B1	to stand out, notice
auffällig	auffällig		adj	B2+	conspicuous
Auffassung	die Auffassung, -en		die	B2+	point of view
auffordern, fordert auf, forderte auf, hat aufgefordert	auffordern, fordert auf, forderte auf, hat aufgefordert		verb	B2+	to ask, request
aufführen, führt auf, führte auf, hat aufgeführt	aufführen, führt auf, führte auf, hat aufgeführt		verb	B1	to perform
Aufführung	die Aufführung, -en		die	B2+	performance
Aufgabe	die Aufgabe, -n		die	A1	task, assignment, job
aufgeben, gibt auf, gab auf, hat aufgegeben	aufgeben, gibt auf, gab auf, hat aufgegeben		verb	B1	to give up
aufgehen, geht auf, ging auf, ist aufgegangen	aufgehen, geht auf, ging auf, ist aufgegangen		verb	B1	to rise, open
aufgreifen, greift auf, griff auf, hat aufgegriffen	aufgreifen, greift auf, griff auf, hat aufgegriffen		verb	B2+	to take up
aufgrund	aufgrund		prep	A2	on the basis of, because of
aufhalten, hält auf, hielt auf, hat aufgehalten	aufhalten, hält auf, hielt auf, hat aufgehalten		verb	B1	to stop, hold up, delay
aufheben, hebt auf, hob auf, hat aufgehoben	aufheben, hebt auf, hob auf, hat aufgehoben		verb	B1	to pick up, keep, lift
aufhören, hört auf, hörte auf, hat aufgehört	aufhören, hört auf, hörte auf, hat aufgehört		verb	A2	to stop
aufklären, klärt auf, klärte auf, hat aufgeklärt	aufklären, klärt auf, klärte auf, hat aufgeklärt		verb	B2+	to clear, clarify, resolve
Aufklärung	die Aufklärung, -en		die	B2+	enlightenment, solution
aufkommen, kommt auf, kam auf, ist aufgekommen	aufkommen, kommt auf, kam auf, ist aufgekommen		verb	B1	to come up, arise, pay for
Auflage	die Auflage, -n		die	B1	edition, condition, plating
auflegen, legt auf, legte auf, hat aufgelegt	auflegen, legt auf, legte auf, hat aufgelegt		verb	B2+	to publish, put on, hang up
auflösen, löst auf, löste auf, hat aufgelöst	auflösen, löst auf, löste auf, hat aufgelöst		verb	B1	to dissolve
Auflösung	die Auflösung, -en		die	B2+	dissolving, dissolution, breaking up
aufmachen, macht auf, machte auf, hat aufgemacht	aufmachen, macht auf, machte auf, hat aufgemacht		verb	A2	to open
aufmerksam	aufmerksam		adj	B1	attentive
Aufmerksamkeit	die Aufmerksamkeit, -en		die	B1	attention
Aufnahme	die Aufnahme, -n		die	B1	reception, recording, snapshot
aufnehmen, nimmt auf, nahm auf, hat aufgenommen	aufnehmen, nimmt auf, nahm auf, hat aufgenommen		verb	B1	to take in, record, include
aufpassen, passt auf, passte auf, hat aufgepasst	aufpassen, passt auf, passte auf, hat aufgepasst		verb	A2	to pay attention, take care
